Animal;TLOfADRR0
Oryx_beisa;3105
Oryx_dammah;3033
Oryx_gazella;3186
Oryx_leucoryx;3262
Otocolobus_manul;2984
Otolemur_crassicaudatus;3440
Ourebia_ourebi;2791
Ovibos_moschatus;3248
Ovis_ammon;3458
Ovis_canadensis;3356
Ovis_orientalis;3747
Ozotoceros_bezoarticus;3645
Paguma_larvata;4160
Panthera_leo;2745
Panthera_onca;4463
Panthera_pardus;7293
Panthera_tigris;5017
Panthera_uncia;4071
Pantholops_hodgsonii;3428
Pan_paniscus;3759
Pan_troglodytes;3468
Papio_anubis;3001
Papio_cynocephalus;3222
Papio_hamadryas;3050
Papio_papio;3298
Papio_ursinus;3083
Pardofelis_marmorata;4623
Pecari_tajacu;4040
Pelea_capreolus;3046
Peponocephala_electra;3317
Perameles_gunnii;3637
Perodicticus_potto;3451
Petaurista_alborufus;2882
Petaurus_breviceps;4732
Phacochoerus_africanus;3996
Phalanger_vestitus;4058
Phascogale_tapoatafa;3683
Phascolarctos_cinereus;4515
Philantomba_maxwellii;3083
Philantomba_monticola;3247
Phocarctos_hookeri;4053
Phoca_largha;6498
Phoca_vitulina;9661
Phocoena_phocoena;2748
Pipistrellus_abramus;5012
Pipistrellus_coromandra;5302
Plecotus_auritus;3514
Plecotus_macrobullaris;3811
Pongo_abelii;4269
Pongo_pygmaeus;4127
Pontoporia_blainvillei;3257
Potamochoerus_porcus;3151
Potorous_tridactylus;3840
Presbytis_melalophos;3358
Priodontes_maximus;3860
Prionailurus_bengalensis;3299
Prionailurus_planiceps;3303
Prionailurus_rubiginosus;4586
Prionailurus_viverrinus;3552
Prionodon_pardicolor;2895
Procapra_gutturosa;3286
Procapra_przewalskii;3228
Procavia_capensis;4860
Procolobus_verus;3188
Procyon_lotor;5873
Proechimys_longicaudatus;6770
Proedromys_liangshanensis;3247
Prolemur_simus;3702
Propithecus_coquereli;4829
Propithecus_diadema;5065
Propithecus_edwardsi;5660
Propithecus_tattersalli;5417
Propithecus_verreauxi;4939
Przewalskium_albirostris;3327
Pseudocheirus_peregrinus;3192
Pseudois_nayaur;3398
Pseudois_schaeferi;3456
Pseudomys_chapmani;4007
Pseudorca_crassidens;3507
Pseudoryx_nghetinhensis;3232
Pteromys_volans;3453
Pteronotus_parnellii;3040
Pteropus_alecto;2873
Pteropus_dasymallus;3181
Pteropus_scapulatus;3827
Pteropus_vampyrus;2712
Pudu_mephistophiles;3597
Pudu_puda;3660
Puma_concolor;7536
Puma_yagouaroundi;3708
Pusa_caspica;4814
Pusa_hispida;5662
Pusa_sibirica;5864
Pygathrix_nemaeus;2919
Pygathrix_nigripes;3554
Rangifer_tarandus;3472
Raphicerus_campestris;3048
Rattus_exulans;3369
Rattus_fuscipes;3657
Rattus_leucopus;3672
Rattus_lutreolus;3423
Rattus_niobe;3827
Rattus_praetor;3490
Rattus_rattus;3690
Rattus_sordidus;3285
Rattus_tanezumi;3535
Rattus_tiomanicus;3383
Rattus_tunneyi;3282
Rattus_villosissimus;3670
Ratufa_bicolor;2614
Redunca_arundinum;3082
Redunca_fulvorufula;2779
Rhinoceros_sondaicus;3568
Rhinoceros_unicornis;3818
Rhinolophus_formosae;3480
Rhinolophus_luctus;3411
Rhinolophus_macrotis;3344
Rhinolophus_rex;3394
Rhinophylla_pumilio;3770
Rhinopithecus_avunculus;3446
Rhinopithecus_bieti;3395
Rhinopithecus_brelichi;2949
Rhinopithecus_roxellana;3384
Rhinopithecus_strykeri;3420
Rhizomys_pruinosus;3696
Rhizomys_sinensis;3898
Rhyncholestes_raphanurus;4324
Rousettus_aegyptiacus;3011
Rucervus_duvaucelii;3151
Rucervus_eldii;2975
Rupicapra_pyrenaica;3043
Rupicapra_rupicapra;3329
Rusa_alfredi;3159
Rusa_timorensis;3202
Saguinus_oedipus;3257
Saiga_tatarica;3179
Saimiri_boliviensis;2867
Saimiri_sciureus;2906
Sarcophilus_harrisii;4984
Scapanulus_oweni;3244
Sciurus_vulgaris;3418
Semnopithecus_entellus;3176
Sicista_concolor;2940
Simias_concolor;3112
